"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","EPIL.OM.AREA.g.m2","EPIL.ASH.AREA.g.m2","EPIL.CHLA.MG.M2.HAUER","EPIL.PHAEO.MG.M2.HAUER","EPIL.640/664","PHICOCYANIN.MG/M2","EPIL.CHLA.MG.M2.RITCHIE","EPIL.CHLB.MG.M2.RITCHIE","EPIL.CHLC.MG.M2.RITCHIE","EPIL.CHLD.MG.M2.RITCHIE","EPIL.CHL.TOTAL.MG.M2.RITCHIE"
"DRONE","44740","GR","1","COBBLE","22.125","24.8434571179734","110.961261829157","145.187944381442","98.0971528744302","1.29486277269529","134.1917482238",NA,NA,NA,NA,NA
"DRONE","44740","GR","2","COBBLE","42","1.0803245975464","4.24413234750372","1.23620000376381","0.756704244728151","0.839449541284404","3.55525003919816",NA,NA,NA,NA,NA
"DRONE","44740","GR","3","COBBLE","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRONE","44740","GR","4","COBBLE","28.5","1.04758748852985","3.54963796336675","0.474501011545706","1.43099515587205","1.15625","3.31954285427895",NA,NA,NA,NA,NA
"DRONE","44740","GR","5","COBBLE","20.25","2.25476838351541","7.61956212360379","0.593126264432132","2.62458372011219","1.34659090909091","4.17409831785759",NA,NA,NA,NA,NA
"DRONE","44740","GR","6","COBBLE","27.5","3.25325020852042","6.70292307114018","0.229446212819799","0.527726289485537","1.125","2.40003930477638",NA,NA,NA,NA,NA
"DRONE","44740","GR","7","COBBLE","18.5","0.708524573715498","1.99228692015051","0.0280954546309957","0.247240000752763","1.45652173913043","1.008069121217",NA,NA,NA,NA,NA
"DRONE","44740","GR","8","COBBLE","23.5","1.2714859305538","2.08991365596774","0.468257577183262","1.22527399362954","1.18918918918919","1.58131928374622",NA,NA,NA,NA,NA
"DRONE","44740","GR","9","COBBLE","14.25","2.28575171883465","10.6044849564349","0.327780304028284","2.41464823967502","1.53136531365314","4.07693925502631",NA,NA,NA,NA,NA
"DRONE","44740","GR","10","COBBLE","22.5","1.99228692015051","9.02141189899139","0.299684849397288","2.13900061257314","1.3960396039604","2.98562434231006",NA,NA,NA,NA,NA
"DRONE","44740","GR","11","COBBLE","23.25","0.782767660235191","1.96831867962053","0.192766035940443","0.900927578500596","1.30232558139535","1.99719748650299",NA,NA,NA,NA,NA
"DRONE","44740","GR","12","COBBLE","21.75","0.957560438734311","3.45142663631708","0.0561909092619915","1.83182364194092","1.22448979591837","1.14044395989038",NA,NA,NA,NA,NA
"DRONE","44740","GR","13","COBBLE","34.75","2.50965016085861","10.0543846067103","0.463575001411429","2.9879516000064","1.22727272727273","4.93091012737251",NA,NA,NA,NA,NA
"DRONE","44740","GR","14","COBBLE","20","1.1364453558605","2.62013790378949","0.632147729197404","0.72486272947969","1.22950819672131","2.28172973115547",NA,NA,NA,NA,NA
"DRONE","44740","GR","15","COBBLE","26.25","6.57665136493346","34.1108984127882","2.10715909732468","6.25123865539655","1.23888888888889","12.1068844238019",NA,NA,NA,NA,NA
"DRONE","44740","GR","16","COBBLE","42","7.665160239734","55.1479985033211","5.082155571029","20.2050022837396","1.62479061976549","6.55396922511484",NA,NA,NA,NA,NA
"DRONE","44740","GR","17","COBBLE","37.5","1.05957160879484","3.57331390828051","0.760918562922801","0.413627526511882","1.304","1.57781173635159",NA,NA,NA,NA,NA
"DRONE","44740","GR","18","COBBLE","17.5","1.57839632758403","5.33147203983939","0.201350758188803","1.3064386403413","1.50980392156863","2.99719924871234",NA,NA,NA,NA,NA
"DRONE","44740","GR","19","COBBLE","49","3.16731529735195","14.4554797001237","1.62251250494","1.54384523197321","1.288","4.50053406205126",NA,NA,NA,NA,NA
"DRONE","44740","GR","20","COBBLE","33.25","1.2638862445321","4.75974181451451","0.287197980672401","1.74831770734324","1.22222222222222","2.29086104620616",NA,NA,NA,NA,NA
"DRONE","44740","GR","21","COBBLE","45","3.76184458074194","16.2820350058779","1.85430000564572","4.88814084821608","1.12","8.55385583128705",NA,NA,NA,NA,NA
"DRONE","44741","DL","1","COBBLE","32","1.53572116761602","3.20122158883338","0.693021214231229","4.07727481039372","1.46923076923077","3.44347619555591",NA,NA,NA,NA,NA
"DRONE","44741","DL","2","COBBLE","22.25","1.91921301609569","11.2861183334583","1.98853384443825","3.15106132272523","1.55144032921811","3.37151301484273",NA,NA,NA,NA,NA
"DRONE","44741","DL","3","COBBLE","26.25","2.64352155308703","14.9865808347941","2.38811364363464","5.33876072332543","1.51778656126482","0.806969737258146",NA,NA,NA,NA,NA
"DRONE","44741","DL","4","COBBLE","18.25","1.25394819358065","8.61979772230612","0.983340912084852","2.88446667544889","1.50180505415162","0.397931251920907",NA,NA,NA,NA,NA
"DRONE","44741","DL","5","COBBLE","42","0.726062310688652","1.80171017837555","0.251298233088351","1.0051929323534","1.41379310344828","0.203028535025901",NA,NA,NA,NA,NA
"DRONE","44741","DL","6","COBBLE","21.5","1.36618971020885","4.73168143535746","1.42350303463712","3.27850542664861","1.44505494505495","0.322054232906548",NA,NA,NA,NA,NA
"DRONE","44741","DL","7","COBBLE","29","2.89957251289511","17.4442023759657","2.06033333960635","4.05823233558827","1.48837209302326","1.15468460231258",NA,NA,NA,NA,NA
"DRONE","44741","DL","8","COBBLE","17.75","2.53712594878322","10.8523516389889","2.49113031061496","7.72687436696007","1.41116751269036","3.80732577862566",NA,NA,NA,NA,NA
"DRONE","44741","DL","9","COBBLE","33","1.06980195536251","3.12171718122175","1.31112121611313","4.58892425639597","1.39903846153846","0.294283226409556",NA,NA,NA,NA,NA
"DRONE","44741","DL","10","COBBLE","25.5","3.05156623332912","13.5917461541958","3.60558334431112","1.83556970255839","1.48971193415638","0.880394396052426",NA,NA,NA,NA,NA
"DRONE","44741","DL","11","COBBLE","27","3.15386969900587","15.6868626721323","2.74648677603889","1.36158377434758","1.46676737160121","0.698315272432191",NA,NA,NA,NA,NA
"DRONE","44741","DL","12","COBBLE","34.25","1.70379114694209","4.32802118935866","1.04577525570929","0.198697298584764","1.24074074074074","0.487636776538599",NA,NA,NA,NA,NA
"DRONE","44741","DL","13","COBBLE","36.25","2.07091444091349","5.22478413991936","0.659462754533094","1.50661875458715","1.45945945945946","0.894483044754194",NA,NA,NA,NA,NA
"DRONE","44741","DL","14","COBBLE","32.25","3.44879597577111","13.109458387434","1.13084204889758","4.97570501514934","1.36612021857923","7.63978898024617",NA,NA,NA,NA,NA
"DRONE","44741","DL","15","COBBLE","17.25","10.301958993648","47.5111909383604","3.48461680353878","15.9773387481406","1.43127962085308","13.7063260357538",NA,NA,NA,NA,NA
"DRONE","44741","DL","16","COBBLE","31.25","2.3547334842624","12.3778424600372","1.48905909544277","1.66691893184288","1.41379310344828","4.09909526273573",NA,NA,NA,NA,NA
"DRONE","44741","DL","17","COBBLE","23.75","9.88543774053555","75.1813554477571","17.2256354059816","18.5592329857995","1.41056910569106","4.07904378346308",NA,NA,NA,NA,NA
"DRONE","44741","DL","18","COBBLE","32.25","5.56910837582566","47.9858790191005","2.30850985551348","1.54126981529871","1.58260869565217","1.30607034786486",NA,NA,NA,NA,NA
"DRONE","44741","DL","19","COBBLE","30.75","9.23227395653198","52.6523200729178","2.52390834101779","12.3755638987905","1.37722419928826","2.75203688519967",NA,NA,NA,NA,NA
"DRONE","44741","DL","20","COBBLE","9.5","23.2375014894316","175.633128395751","16.6816761871537","18.9644318759221","1.77235890014472","5.73337851214088",NA,NA,NA,NA,NA
"DRONE","44741","DL","21","COBBLE","20.25","15.5869560305085","92.1385933271015","28.9757788761003","14.0759788559879","1.36692913385827","6.90294680723135",NA,NA,NA,NA,NA
"DRONE","44755","GC","1","COBBLE","56","27.1308790974721","164.633752061804","7.48275608338854","48.7971221182677","1.02909090909091","9.65978552481426",NA,NA,NA,NA,NA
"DRONE","44755","GC","2","COBBLE","60","17.8651080633214","77.8207848622171","11.9873939758915","23.3254707780889","0.972","11.6936953407144",NA,NA,NA,NA,NA
"DRONE","44755","GC","3","COBBLE","62","1.58833437853548","6.33112304730928","0.400360228491689","1.27077302154584","1.1283422459893","0.75395900430062",NA,NA,NA,NA,NA
"DRONE","44755","GC","4","COBBLE","61","6.06922617517681","25.4975311940389","3.07801314068464","5.06514221239135","1.05900621118012","3.12717726333272",NA,NA,NA,NA,NA
"DRONE","44755","GC","5","COBBLE","63","3.81153483549921","11.9724284403411","2.02911616779414","2.47240000752762","1.12267657992565","2.6142919914651",NA,NA,NA,NA,NA
"DRONE","44755","GC","6","COBBLE","39","23.7987090725725","114.959865859037","33.1713667676623","25.0293040155997","1.04291044776119","12.2462509736153",NA,NA,NA,NA,NA
"DRONE","44755","GC","7","COBBLE","57","32.5173027131608","153.045984652407","4.88236567143081","27.3624754368449","1.13389121338912","10.9636578096452",NA,NA,NA,NA,NA
"DRONE","44755","GC","8","COBBLE","57","25.5887274262993","147.443262280716","15.8708101493314","19.8965766262349","1.01453488372093","11.1851009684929",NA,NA,NA,NA,NA
"DRONE","44755","GC","9","COBBLE","47","14.1026788913471","50.4408698997261","15.0154596416766","28.4831719049035","1.09393939393939","7.96412019600306",NA,NA,NA,NA,NA
"DRONE","44755","GC","10","COBBLE","54","12.74408886716","44.7212292815475","9.9894949799096","31.5293435303397","1.13199105145414","6.33696895963366",NA,NA,NA,NA,NA
"DRONE","44755","GC","11","COBBLE","53","14.8649858584469","72.3186121825056","4.30172627572357","22.6287035032402","1.13714285714286","3.89407911751953",NA,NA,NA,NA,NA
"DRONE","44755","GC","12","COBBLE","45","39.8457384030102","231.311058851277","7.74185860942994","45.7518870079859","1.10416666666667","12.6645844595483",NA,NA,NA,NA,NA
"DRONE","44755","GC","13","COBBLE","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRONE","44755","GC","14","COBBLE","51","10.4162465795897","42.2858222072086","8.10397780245166","17.2301618958944","1.09623430962343","5.09775246511047",NA,NA,NA,NA,NA
"DRONE","44755","GC","15","COBBLE","35","8.48124960021819","34.2593845858276","3.57124445531768","10.6893839719395","1.10544217687075","3.08547252481056",NA,NA,NA,NA,NA
"DRONE","44755","GC","16","COBBLE","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRONE","44755","GC","17","COBBLE","54","14.3107933700952","50.6770447576313","12.1372364005902","22.0043600669959","1.0962962962963","43.9172994186981",NA,NA,NA,NA,NA
"DRONE","44755","GC","18","COBBLE","39","16.3644623696518","47.408010585835","13.4998659501934","36.5947979144491","1.06518010291595","22.6927793790453",NA,NA,NA,NA,NA
"DRONE","44755","GC","19","COBBLE","49","15.3770877780631","60.0866252349618","12.3869737750879","21.6672146114239","1.31960461285008","38.9478062699846",NA,NA,NA,NA,NA
"DRONE","44755","GC","20","COBBLE","40","4.32129839018561","25.8436092036425","5.54416971384982","7.61948729592604","1.02160493827161","13.951620516885",NA,NA,NA,NA,NA
"DRONE","44755","GC","21","COBBLE","37","24.3564091083189","95.9664967171091","8.69086063252134","83.6120729818433","1.72494669509595","108.043683906303",NA,NA,NA,NA,NA
"DRONE","44754","GR","1","COBBLE","20","21.8379900789737","90.0913548311018","5.25385001599621","28.6386334205283","1.33718689788054","43.2515669231971",NA,NA,NA,NA,NA
"DRONE","44754","GR","2","COBBLE","29.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRONE","44754","GR","3","COBBLE","24","21.9747844273643","84.7072695803429","12.4556515530748","60.5082441236211","1.21067415730337","58.1533820292876",NA,NA,NA,NA,NA
"DRONE","44754","GR","4","COBBLE","29.625","9.14768360519812","51.5469165114998","1.27366060993847","19.7042788478717","1.16746411483254","15.9242651716255",NA,NA,NA,NA,NA
"DRONE","44754","GR","5","COBBLE","33.25","9.00387416201822","51.7971215589835","8.46453613688277","8.90235697154912","1.36850519584333","5.34667141188279",NA,NA,NA,NA,NA
"DRONE","44754","GR","6","COBBLE","35.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRONE","44754","GR","7","COBBLE","58","18.6132660519044","85.9326915924726","13.7667727691879","16.5201273230255","1.06466512702079","22.0779063207665",NA,NA,NA,NA,NA
"DRONE","44754","GR","8","COBBLE","42","26.7625866210358","142.324581449484","19.0112576336405","27.6428056397186","0.994884910485934","61.1201825339131",NA,NA,NA,NA,NA
"DRONE","44754","GR","9","COBBLE","51.5","26.0423702226716","115.531596084362","38.12241021708","25.2091149252381","1.03991596638655","54.9906265435487",NA,NA,NA,NA,NA
"DRONE","44754","GR","10","COBBLE","35.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DRONE","44754","GR","11","COBBLE","27","3.15679265516806","12.7879332095928","1.36575126678451","1.39306629212021","1.25185185185185","3.74722979993097",NA,NA,NA,NA,NA
"DRONE","44754","GR","12","COBBLE","26.75","2.90337235590596","11.0856035407318","2.04706604158616","1.71148144460482","1.30316742081448","6.44272151358179",NA,NA,NA,NA,NA
"DRONE","44754","GR","13","COBBLE","33.75","4.58904117464246","19.086903739118","0.936515154366524","3.59777905135807","1.19791666666667","6.48896268006768",NA,NA,NA,NA,NA
"DRONE","44754","GR","14","COBBLE","39.5","6.31592367526587","25.696292213068","0.462014142820819","9.36156156890684","1.20238095238095","13.9728996377457",NA,NA,NA,NA,NA
"DRONE","44754","GR","15","COBBLE","17.75","7.4921212349322","44.2231575515099","2.73462425075025","9.2490236645238","1.47735849056604","3.83795835920543",NA,NA,NA,NA,NA
"DRONE","44754","GR","16","COBBLE","31.5","0.401263421945808","-0.0911962322604107","0.584385456324712","0.676913153576124","1.12","1.55325422785931",NA,NA,NA,NA,NA
"DRONE","44754","GR","17","COBBLE","38.75","10.3659717336","67.7588005694851","3.24658586847062","5.16207153086828","1.32446808510638","11.4420872742729",NA,NA,NA,NA,NA
"DRONE","44754","GR","18","COBBLE","53","16.6023910012542","70.9109164947936","10.4577525570929","24.7240000752762","1.09278350515464","40.5823233558827",NA,NA,NA,NA,NA
"DRONE","44754","GR","19","COBBLE","58","12.6140173179424","56.4408220138589","1.32751023131455","21.2844140420766","1.12445095168375","26.0972048802744",NA,NA,NA,NA,NA
"DRONE","44754","GR","20","COBBLE","47","7.95044076116401","38.3491848479675","9.36515154366525","31.8040546422872","1.07861060329068","38.2462967910584",NA,NA,NA,NA,NA
"DRONE","44754","GR","21","COBBLE","68","8.44383576134213","31.8929592769164","10.051929323534","40.8108330535482","1.05208333333333","33.694669455292",NA,NA,NA,NA,NA
"LTREB","44425","WS","1","COBBLE","27.625","4.62996256091316","9.68083080918204","0.449527274095932","55.7189056241907","1.17877094972067","11.4149622410877","33.649269819577","3.3566976023208","4.43811459042778","0.22628479020207","41.6705789389941"
"LTREB","44425","WS","2","COBBLE","12.25","4.75857263204963","19.4844257771762","0.343388889934393","28.2609056416005","1.18828451882845","10.3402497193727","17.7835974555183","1.46911412869268","1.87896806034005","0.0907401926399853","21.2225330140537"
"LTREB","44425","WS","3","COBBLE","33.625","0.708190521582676","3.28707298696865","0.12486868724887","22.3390081488228","1.125","7.88964327299039","13.3015391655318","1.4977330263132","1.13841425913135","0.215339558708071","16.1531101908219"
"LTREB","44425","WS","4","COBBLE","39","6.26681801174103","22.3647067794008","0.941197730138358","24.8267045705384","1.14206128133705","10.030825580043","16.1386219097077","1.1385323874817","1.71437227747879","0.193852656585563","19.1854838087793"
"LTREB","44425","WS","5","COBBLE","26","8.663642064739","29.3347880437654","0.608734850338241","26.8046245765605","1.11340206185567","10.799153836837","16.3476709218459","2.63178646868706","0.800857192872645","0.227321048312515","20.007735187605"
"LTREB","44425","DL","1","COBBLE","9.375","5.14323366299418","15.6237852781521","-0.129551263020703","14.1858633007669","1.25324675324675","11.8100289959697","8.27141436548557","0.589824095629282","0.982262043119473","0.0765366542233056","9.92009053163715"
"LTREB","44425","DL","2","COBBLE","20.625","9.94681981994158","50.8986048347255","0.777307578124216","56.989600602807","1.23017107309487","32.8439138347242","35.5070161776071","2.28734739567907","4.18994452256195","0.412696950804436","42.3972360069567"
"LTREB","44425","DL","3","COBBLE","21","9.47037796550417","67.2221458181065","0.257541667450794","9.73975760541185","2.13709677419355","4.52210547852825","5.77908901593552","0.934858802798095","2.09564539762443","0.961706885886875","9.77134333276656"
"LTREB","44425","DL","4","COBBLE","36.125","9.71239873573374","47.1940501947625","0.486987880270593","47.1526015072001","1.40641711229947","15.8088668623422","28.2596075684607","4.90933758848036","2.93492320070183","0.891904623280751","36.9959480776896"
"LTREB","44425","DL","5","COBBLE","37.625","4.19502668397889","21.4995117553918","0.10769924275215","35.7776884422643","1.2952182952183","18.0829852156513","21.5899766990959","2.87480096216899","1.70452041865865","0.357972517878579","26.5274053226976"
"LTREB","44425","GR","1","COBBLE","25.75","4.33299021483438","17.6102262859783","0.318415152484619","15.581114794914","1.07943925233645","12.7008291159595","9.43657372026828","0.968581526786631","0.665236832286837","0.185573225416519","11.2560257281081"
"LTREB","44425","GR","2","COBBLE","36.7","3.84661030944553","14.9468286309883","0","21.4652395097989","1.08133971291866","19.5407803719833","13.1990860678832","1.39295210976069","1.84671859394594","0.711144828537534","17.1499900721645"
"LTREB","44425","GR","3","COBBLE","11.5","3.61978891125937","8.67065715952826","-1.12381818523983","14.9692582273945","1.14285714285714","8.61593942017202","8.24189358389528","0.588826432232001","0.20658977127932","-0.261122312133129","8.77623756305027"
"LTREB","44425","GR","4","COBBLE","25.25","10.2104704657714","43.4304518403233","-0.511961617720367","30.7944913058801","1.03323262839879","29.3515073530132","17.6323018188586","1.97489241972113","1.40340471791493","0.239247142051773","21.2499573111825"
"LTREB","44425","GR","5","COBBLE","17.125","9.90297547750868","23.2719923721454","-0.755455557855664","58.9255335127417","1.14351851851852","32.1846703019033","33.9016637520123","4.50889264102727","2.68701041143739","1.02592350203121","42.1237060499025"
"LTREB","44425","GC","1","COBBLE","22.86","5.81083685043898","14.7346220136131","0.554104799666861","30.3206146377706","1.00502512562814","52.0069898114289","18.4581195198815","1.43489858260337","1.09740102773213","0.286932067658501","21.2774707350907"
"LTREB","44425","GC","2","COBBLE","35.8775","8.79108295341061","25.7757966206797","-0.455770708458376","43.5261026577748","1.00732600732601","46.5159243651338","26.1433876460961","1.70088763428429","0.939165901467244","-0.167625467844756","28.6159812936236"
"LTREB","44425","GC","3","COBBLE","37.7825","9.69836854615519","40.9178787233025","0","43.6756329107554","1.04","40.1050630737199","25.556054575551","2.97562572770692","1.63632259591951","0.35343071752143","30.5215943325205"
"LTREB","44425","GC","4","COBBLE","33.81375","8.03812944602977","28.1656055788884","0.171694444967196","40.5713973457485","1.05705705705706","22.2688338172809","23.7750705999568","3.39661191327537","1.61788447153016","0.53132164248328","29.3210371718778"
"LTREB","44425","GC","5","COBBLE","46.355","7.95511749102351","30.8102963144403","0.168572727785975","46.6777883239363","1.13164556962025","20.0582605309379","27.6836958555848","3.83574614906364","2.08522822739069","0.490582625293454","34.0954252182115"
"LTREB","44425","GC","6","COBBLE","45.72","8.73262383016674","14.8568015811928","0","25.6477161891998","1.05785123966942","26.4133518187771","16.0796501759499","2.50516522369064","0.866924993151354","0.642992165471106","20.0948346278922"
"LTREB","44425","GC","7","COBBLE","47.625","9.51363771670463","27.3401627586851","1.23307828658259","52.1098883909803","1.09385113268608","32.4017874856309","32.1156385071578","4.78550847982014","2.28611605947436","1.71505487543135","40.902526667721"
"LTREB","44425","BG","1","COBBLE","30.95625","26.3066054597338","177.248061675362","-0.780429295305438","38.038123853187","1.47164179104478","19.6598031469077","21.1997310330324","5.06224439365215","0.985878038033633","1.57808707882207","28.8260738303413"
"LTREB","44425","BG","2","COBBLE","31.4325","9.47037796550417","-13.1006895189475","0.842863638929881","45.3741592290581","1.23362445414847","23.723296803588","25.7165262017234","13.4865274489611","-1.03704689939512","0.988053477386908","39.1541807129294"
"LTREB","44425","BG","3","COBBLE","37.94125","15.8833437853549","78.6947487547126","0","59.3719390696564","1.11981566820276","19.4065582250154","34.5662092174781","3.25394988822878","3.34395068987798","0.963108209530153","42.1274432598087"
"LTREB","44425","BG","4","COBBLE","37.94125","23.5134285511425","116.871479189111","-2.22890606739231","96.1029999390658","1.06140350877193","36.7032097739136","52.8489531447854","7.76467811649634","4.9188033364833","1.84534500331073","67.3781149109148"
"LTREB","44425","BG","5","COBBLE","37.94125",NA,NA,NA,NA,"1.2531328320802",NA,NA,NA,NA,NA,NA
"LTREB","44425","BG","6","COBBLE","41.43375","11.4579881557952","58.4006641206091","0.156085859061088","58.2980683593161","1.15500945179584","21.5831083016305","34.307465460922","4.32565301027604","3.19252345588593","1.08142187528969","42.907283608677"
"LTREB","44425","BG","7","COBBLE","24.765","15.6389846501955","91.7901769525682","-3.08425657504706","100.736564751153","1.14414414414414","30.9847383381999","54.7238711102998","6.92634458025306","5.09994309214396","1.77981508542499","68.5303248566977"
"DRONE","44448","GC","1","COBBLE","18.75","9.26343266922094","48.6941112971998","24.6740526003767","13.1080904439501","1.22390317700454","30.727050522941","32.5353814308604","5.93710727054499","3.2034682898579","1.87495209395057","43.5511170126234"
"DRONE","44448","GC","2","COBBLE","30","12.3676121134696","41.321246673685","40.7009486087692","13.2342078180715","1.1057268722467","55.4337466977371","48.4223844065756","5.4127515938038","4.07511764536237","1.33669631087189","59.2472615437406"
"DRONE","44448","GC","3","COBBLE","34.5","10.4431377762819","32.5897920259831","35.0943445512949","12.3551322598394","0.917647058823529","53.6651243831176","42.4786161515345","5.19965180286822","2.57917954796925","1.4427392897443","51.7004604743476"
"DRONE","44448","GC","4","COBBLE","41.75","14.8053575527382","82.9394656934488","15.7334545933576","11.5247554896344","1.26642335766423","20.1161350629493","21.992945420434","4.50986880315901","1.21020097513511","1.04471096060333","28.7578624275478"
"DRONE","44448","GC","5","COBBLE","47.75","4.89069025058073","17.5295526959018","8.36308032849306","4.16686809349479","1.17714285714286","9.97920617421867","10.6287365483353","1.63662553109617","0.761513992476689","0.305107085071876","13.3320496483868"
"DRONE","44448","GC","6","COBBLE","20.5","16.5462702429401","68.2872710436095","35.1255617231071","17.2187676281829","1.1304347826087","37.7716087103183","45.2042895973148","6.90485757875005","4.121991924153","2.091502808774","58.3229321468469"
"DRONE","44448","GC","7","COBBLE","31.25","18.877620077905","59.3757622963166","42.0027046733386","13.1823873128632","1.01805054151625","60.940829943801","50.4703757157808","5.32062494952149","3.55697361291241","1.45838005155184","60.8066810578064"
"DRONE","44448","GC","8","COBBLE","34.875","15.0052877542322","58.7163433861259","29.9029288789231","16.8385424755101","1.03951367781155","36.0561841978507","39.41393592339","7.73500945670791","2.17621144629783","1.62838143846712","50.9537818289539"
"DRONE","44448","GC","9","COBBLE","37.75","5.74536263240587","10.5436874682613","7.9229182059408","3.16916728237632","1.05755395683453","8.65592546047082","9.61100992149926","1.50698399549735","0.567356454025673","0.203853673858664","11.8892633925829"
"DRONE","44448","GC","10","COBBLE","45","6.04993466450633","21.4749589236294","8.26162452010336","4.34043556877072","1.20574162679426","7.07057249722077","10.6240736674421","1.7615123699028","0.68324960224956","0.321026159073357","13.3899278399393"
"DRONE","44448","GC","11","COBBLE","22","15.7465494369642","51.8146592959567","42.3273632601857","8.57910315743359","1.0575","54.6554219308684","48.2734677990118","5.23808222251385","3.89838388366966","1.26081025407708","58.6710548344369"
"DRONE","44448","GC","12","COBBLE","31.375","17.2851935607424","68.3550836265724","34.9632324296836","17.4116897499824","1.07890499194847","38.9375174642937","44.783374509732","6.28788658622353","3.43585583838823","2.22930742434887","56.7367157189629"
"DRONE","44448","GC","13","COBBLE","35.75","0.869871753868534","3.31112474053183","1.76064849020907","0.704259396083626","0.996389891696751","0.318695756276189","2.14360139233973","0.298632304575107","0.132356950181668","0.0683139050201594","2.64291816140056"
"DRONE","44448","GC","14","COBBLE","35.75","5.55595507309578","16.6678652192874","13.5982000414019","5.65561501721944","1.07106598984772","14.1599688321261","16.7330917460153","3.02297393460968","0.882003237891395","0.562151534295832","21.2003238553094"
"DRONE","44448","GC","15","COBBLE","42.75","3.95300591374934","11.9817819000601","7.2767227494279","3.18602455515492","1.15868263473054","5.90986660521407","9.2502977811149","1.92925569718593","0.365816814409669","0.362813266500172","11.9082400307237"
"DRONE","44448","GC","16","COBBLE","23.875","19.5300238933064","65.0720192651976","36.6364728388184","13.2385782221252","1.06553911205074","57.3862814140818","44.0522190531572","5.28127791420705","3.36868247086256","1.51451462960267","54.2169786000741"
"DRONE","44448","GC","17","COBBLE","31.75","4.79364810599595","14.0453889505681","11.135165185418","6.33552501928954","1.03597122302158","14.3713570217758","14.7929344044577","1.82562732563181","0.981851782838459","0.358533719615808","17.9590411880466"
"DRONE","44448","GC","18","COBBLE","33.75","6.13470039320994","21.4404680409155","11.7470217529374","4.8146244085983","1.14285714285714","16.6628377346884","14.7889123232439","2.72150801110452","0.890436890073467","0.418496867490654","18.8194445632517"
"DRONE","44448","GC","19","COBBLE","44.375","4.0722625251668","11.9800281263628","8.47077957124521","4.09631728519918","1.16504854368932","6.89443515888704","10.6668716734117","2.0099669758592","0.588740251792515","0.283016563272313","13.5486603364247"
"DRONE","44448","GC","20","COBBLE","36.25","6.62926457585293","18.0568539875613","11.6315182172322","4.6526072868929","1.12745098039216","14.6222635787385","14.1470848388852","2.71080414563857","0.794592491081165","0.378342862438954","18.0309102028041"
